tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Rift,Rhyolite,70.68,0.41,10.98,0.68,0.08,0.3,4.34,4.98,0.01,2.7,9,4,7,9,129,18,86,665,86,169,75,15.3,3.33,7.73,0.95,16.9,20
Rift,Rhyolite,72.49,0.37,8.95,0.26,0.01,0.3,4.15,5.8,0.01,0.6,9,4,3,15,136,3,132,782,106,226,97,20,3.33,11.3,1.1,19.7,27
Convergent margin,Rhyolite,74.14,0.08,12.65,0.75,0.18,0.06,5,4.37,0.01,5,1,4,3,2,294,21,31,143,53,89,31,6.1,0.14,3.7,0.51,5,53
Backarc basin,Basalt,55.72,1.85,14.25,7.05,3.22,0.22,0.4,3.76,0.19,38,413,4,37,34,7.4,184,53.6,178.2,7.97,21.79,16.76,5.8,1.96,5.33,0.85,4.6,0.54
Intraplate,Dacite,67.59,1.02,15.4,3.38,0.58,0.08,2.98,2.86,0.37,16.5,86,4,NA,2,102,364,34.9,194,28,54.8,28.8,6.6,1.7,2.8,0.5,4.8,7.4
Convergent margin,Dacite,62.84,0.34,18.04,5.8,3.2,0.18,1.06,3.12,0.139,9,54,4,11,10,9.6,285,18,85,7.5,18.088,11.1,2.52,0.951,2.13,0.354,1.9,1.074
Rift,Rhyolite,71.27,0.32,9.05,1.03,0.13,0.21,4.98,1.73,0.01,0.7,9,4,1,14,132,36,104,765,97,221,91,20,2.64,10.8,1.1,18.7,28
Convergent margin,Rhyolite,74.88,0.25,13.7,1.74,0.28,0.03,3.43,3.82,0.03,6,16,4,NA,3,222,139,19,147,22.1,43.5,14.3,2.7,0.62,1.6,0.2,2.4,12.2
Convergent margin,Rhyolite,73.51,0.41,12.4,3.21,0.65,0.1,1.69,3.61,0.09,15,12,4,NA,1,30.1,224,23,77.2,12.163,23.892,13.374,3.118,0.926,2.446,0.399,2.182,2.021
Ocean island,Rhyolite,72.88,0.25,12.66,0.79,0.06,0.13,3.62,4.96,0.02,1.1,2,4,0,1,71.2,70,113,946,75.7,184,98,21.2,4.65,11.04,1.56,22.6,8.6
Seamount,Dacite,64.41,0.68,15.66,3.09,2.77,0.28,2.71,3.58,0.16,16.6,95,4,13,70,38,248,36,189,17.8,36.8,NA,6.04,1.63,5.1,0.57,5.4,3.36
