tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Archean craton,Basalt,49.24,0.77,15.84,9.85,7.92,0.18,0.52,2.2,0.06,36.96,316.1,320,62,139,18.92,151.36,18.58,46.37,3.32,8.94,6.3,1.83,0.76,2.07,0.3,1.38,0.51
Seamount,Basalt,45.92,4.39,12.22,9.82,7.14,0.14,2.19,2.84,1.62,20.7,213,321,43.7,163,34.6,907,53.1,451,71.7,131,69.4,13.4,4.08,2.94,0.4,9.65,6.7
Convergent margin,Andesite,52.6,0.97,15.82,9.79,8.23,0.17,0.63,2.97,0.16,37,262,321,36,109,9,287,19,85,5.36,14.58,11.57,3.25,0.97,1.96,0.3,2.03,0.44
Ocean island,Basalt,50.65,2.33,13.43,10.46,7.92,0.17,0.51,2.3,0.28,30.2,257,331,NA,102,7.03,371,27.1,151,11.7,30.1,20.4,5.46,1.86,1.99,0.278,3.84,0.794
Ocean island,Basalt,47.11,3.27,13.76,10.92,7.79,0.18,0.83,2.53,0.44,29,302,331,50.4,165,12.3,570,28,254,26.3,65,34.5,8.17,2.75,2.26,0.31,6,1.2
Convergent margin,Andesite,60.19,0.97,16.75,5.66,2.81,0.18,0.86,3.24,0.23,NA,233,334,35,102,16.9,328,32.6,144,12.1,28.5,18.4,4.64,5.4,3.36,0.52,3.49,1.67
Backarc basin,Basalt,50.6,1.12,15.89,12.12,7.63,0.18,0.04,2.48,0.07,41,318,335,38,79,0.77,102,28.1,61.6,1.77,6.36,7.04,2.67,0.99,3.04,0.46,1.81,0.07
Backarc basin,Basalt,50.34,1.08,14.7,11.7,7.11,0.17,0.12,2.3,0.18,43.27,362,335,45.09,102,1.64,100.5,29.62,55.35,2.02,6.35,6.44,2.41,0.91,2.97,0.45,1.61,0.64
Seamount,Basalt,49.14,1.33,16.48,12.09,6.64,0.17,0.15,2.5,0.11,52.2,392,336,53.1,112,3.09,90.4,34.9,74.4,2.84,8.37,8.15,3.04,1.09,3.49,0.52,2.04,0.2
Intraplate,Basalt,53.7,0.74,15,8.16,7.66,0.17,1.2,2.39,0.08,30,218,338,NA,34,21.2,125,13.9,85,9.22,20.1,10.9,2.72,0.68,1.78,0.27,2.34,2.4
Archean craton,Basalt,50.48,0.71,14.4,11.09,8.37,0.16,2.07,0.26,0.06,58,361,340,60,144,8.98,118,17,43,2.22,6.15,5.04,1.7,0.66,1.9,0.31,1.32,0.21
Convergent margin,Andesite,53.5,0.89,15.25,9.7,8.33,0.16,0.76,2.84,0.16,34,245,341,40,107,11,299,16,72.8,5.03,13.01,10.24,2.91,0.94,1.67,0.273,2.1,0.55
Intraplate,Basalt,45.78,2.17,13.25,9.21,9.57,0.1,0.82,2.47,0.52,21.9,203,344,NA,226,9.83,591,20.4,131,21.8,45.6,24,5.47,1.98,1.6,0.22,3.11,1.92
Intraplate,Basalt,50.58,0.38,11.8,9.6,15.2,0.2,0.7,1.32,0.01,60,350,350,60,190,26.8,82.7,8.2,13.7,3,4.3,3,1.05,0.48,1.05,0.17,0.4,NA
Convergent margin,Andesite,58.85,0.21,13.75,6.39,6.16,0.08,0.58,3.27,0.04,24,167,356,24,94,12.8,227,6.8,43.6,2.46,4.91,3.31,0.69,0.32,0.79,0.13,1.12,0.43
Rift,Basalt,45.39,1.857,15.25,11.39,9.94,0.162,1.25,3.39,0.496,30.2,228,361,47.5,216,38.5,677,27.9,144,40.2,75.5,31.2,5.93,1.94,2.5,0.35,3.18,5.49
Seamount,Basalt,49.32,1.4,14.74,12.96,6.58,0.13,0.28,2.33,0.4,50.7,324,362,44.1,63.5,4.65,181,30.8,90.2,5.89,13.3,10.7,3.4,1.23,2.59,0.39,2.4,0.34
Ocean island,Basalt,50.01,2.38,14.6,10.72,7.81,0.15,0.54,2.66,0.33,25,241,364,42,198,11,530,28,160,14.6,36,24,6.3,2.1,2,0.28,4.1,1
Backarc basin,Basalt,51.63,1.12,16.63,11.67,7.49,0.15,0.37,2.55,0.16,34.3,219,367,35.6,121,5.47,206,23.6,80.4,8.41,18.4,10.59,2.91,1.04,2.24,0.35,1.98,1.07
Seamount,Basalt,49.53,1,13.95,11.71,8.04,0.17,0.23,2.34,0.1,52.2,325,375,52.6,84.5,26.5,68.5,25.1,48.4,2.02,5.74,5.39,2.06,0.77,2.49,0.38,1.4,0.09
Archean craton,Basalt,45.02,0.74,15.73,11.51,9.71,0.23,1.39,1.03,0.05,45,236,379,79,228,2,116,12,35,2.01,5.93,4.88,0.92,NA,1.06,0.16,1.05,0.21
Intraplate,Basalt,49.05,0.32,12.5,11.5,14.5,0.18,0.7,1.22,0.01,53,300,380,44,140,313,85.2,8.8,13.2,25,3.7,2.5,0.85,0.41,0.95,0.15,0.7,NA
Intraplate,Basalt,50.54,0.76,15.2,10.97,6.92,0.16,0.65,2.44,0.16,31.7,218,381,42.6,130,20.2,393,18.4,68.6,12.31,27.8,16.18,3.69,1.25,1.68,0.23,1.91,0.44
Ocean island,Basalt,49.7,2.7,13.97,10.07,8.74,0.15,0.72,2.23,0.38,28,270,382,48,257,14,508,32,183,15,38,25,6.8,2.2,2.2,0.31,4.9,1.2
Convergent margin,Andesite,51.52,0.56,15.55,9.92,10.58,0.16,0.38,2.64,0.1,34,243,384,58,220,6.9,291,16,48,3.57,8.05,5.41,1.69,0.64,1.59,0.25,1.78,0.45
Archean craton,Basalt,49.47,1.04,14.88,11.56,5.8,0.27,0.24,2.66,0.09,39.35,334,385,54,104,3.85,140,24.44,69.11,4.05,10.94,8.06,2.54,0.82,2.57,0.41,1.89,0.44
Archean craton,Basalt,48.04,0.93,15.03,13.54,5.75,0.24,0.29,2.38,0.05,47,309,395,81,191,5,453,24,54,4.24,11.19,8.02,0.96,NA,2.3,0.33,1.67,0.47
Backarc basin,Basalt,50.62,0.77,15.75,12.94,9.06,NA,0.1,2,0.09,34,280,397,41,89,1.33,87,18.1,36.7,1.63,5.06,4.99,1.83,0.71,2.09,0.35,1.1,0.08
Convergent margin,Dacite,66.38,0.45,16.37,4.18,1.89,0.06,1.94,4.1,0.13,8,234,409,8,123,57.3,498,10,101,15.1,29.2,13.1,3.38,1.06,1.06,0.17,2.6,6.5
Backarc basin,Basalt,47.97,0.66,17.3,13,9.24,0.18,0.02,2.19,0.12,48.1,257,413,51.95,227,0.07,61.6,24.43,32.3,0.76,2.9,3.48,1.47,0.63,2.72,0.42,0.94,0.02
Intraplate,Basalt,50.4,1.53,14.78,8.78,7.02,0.17,0.52,3.48,0.18,63.64,503.08,413.65,NA,95.89,7.9,173.64,36.99,99.15,4.82,14.52,11.98,3.86,1.37,3.17,0.49,2.64,0.27
Convergent margin,Andesite,54.34,0.91,17.21,7.59,7.77,0.11,2.89,2.02,0.25,NA,173,417,29.4,124,168,339,22.6,216,41.4,92.6,43.6,7.66,1.75,1.97,0.32,5.48,24.7
Archean craton,Basalt,48.8,1.09,15.58,13.43,4.58,0.26,0.16,2.57,0.09,59.91,364,421,63,124,1.37,168,25.54,69.13,4.35,11.19,8.7,2.88,1.03,2.7,0.42,2.09,0.49
Convergent margin,Andesite,53.4,0.86,14.6,10.03,8.67,0.17,0.91,2.74,0.17,38,246,431,40,110,16,333,18,67.53,6.8,17,12.25,3.36,1.02,1.69,0.284,1.94,0.705
Archean craton,Basalt,50.97,0.64,13.33,11.3,8.86,0.18,1.95,0.28,0.05,60,352,436,63,148,12.17,122,15,36,1.92,5.19,4.4,1.47,0.6,1.72,0.25,1.07,0.13
Archean craton,Basalt,53.84,0.55,11.85,7.68,8.62,0.17,0.28,2.72,0.07,34,220,439,47,69,45,101,15.31,24,2.69,7.34,5.5,1.56,0.47,1.53,0.23,0.65,0.39
Backarc basin,Basalt,48.4,1.12,17,11.53,10.57,0.16,0.02,2.46,0.04,38,266,440,50,212,0.07,113,25.4,66,1.57,5.62,6.77,2.54,0.97,2.77,0.41,1.31,0.02
Archean craton,Andesite,54.1,0.56,21.6,9.91,2.6,0.19,0.6,3.5,0.02,29,180,440,55,200,30,140,8.3,35,2.7,7.11,23.08,6.92,0.55,0.96,0.15,1,0.36
Cont flood Basalt,Basalt,45.69,1.153,14.39,9.77,10.56,0.207,0.174,2.26,0.079,28.8,284.1,440.8,53.6,230.8,0.8,124,22.9,55.7,1.82,6.01,6.58,2.53,1.06,2.16,0.32,1.78,0.5
Seamount,Basalt,50.53,0.82,15.82,12.51,8.39,0.14,0.22,1.81,0.09,40.5,227,444,41.4,116,4.59,122,20.7,51.1,2.66,6.72,5.52,1.98,0.77,1.97,0.29,1.32,0.21
Intraplate,Basalt,52.4,0.7,14.4,10.6,8.98,0.16,0.74,1.2,0.07,34,220,445,NA,101,18.1,105,11.7,65,5.92,13.3,7.81,2.22,0.63,1.76,0.26,1.81,0.91
Archean craton,Basalt,50.46,0.89,14.85,7.54,9.03,0.21,0.58,2.95,0.08,37.39,353.9,445,66,162,18.97,136.72,19.41,57.35,2.79,7.76,6.32,2.11,0.63,2.24,0.31,1.62,0.32
Seamount,Basalt,49.67,1.32,15.95,14.26,6.27,0.2,0.24,1.93,0.3,52.7,338,446,52.5,74.8,4.45,184,26.9,85.9,7.03,16.7,11.5,3.42,1.22,2.46,0.37,2.2,0.65
Archean craton,Basalt,53.72,0.65,11.88,8.43,7.99,0.17,0.36,2.46,0.07,42,283,446,56,64,81,156,19.49,21,2.79,7.53,6.33,1.95,0.68,1.82,0.29,0.65,0.34
Archean craton,Basalt,51.4,1,13.8,10.3,7.6,0.22,0.3,3.5,0.1,49,290,464,55,152,9,231,27,79,4.2,12.4,9.1,3.07,1.05,2.76,0.42,2.41,0.575
Convergent margin,Andesite,54.55,0.72,15.75,6.9,6.58,0.16,1.12,3.62,0.23,29,176,469,28,178,27,793,13.1,114,25.2,45.4,18.6,3.87,1.15,1.26,0.18,2.5,4.61
Archean craton,Basalt,51.81,0.51,10.82,8.14,11.85,0.19,0.27,2.35,0.06,37,234,473,57,96,50,91,15.29,26,1.98,6.07,5.01,1.54,0.47,1.48,0.23,0.71,0.26
Ocean island,Basalt,50.06,2.17,14.07,9.72,8.5,0.16,0.24,2.26,0.19,29,234,477,NA,210,3.12,283,27.1,135,11.5,26.8,19.6,5.09,1.73,1.97,0.286,3.36,0.748
Archean craton,Basalt,61.1,1.1,17.4,5.4,3.5,0.18,0.2,3.9,0.08,57,308,479,57,159,32,114,30,84,5.8,14.8,11.6,3.66,1.17,3.09,0.44,2.61,0.608
Backarc basin,Basalt,51.5,0.77,16.38,12.61,8.38,0.15,0.04,1.85,0.05,34,288,480,40,112,1.03,61,20.1,37.5,1.33,4.23,4.26,1.63,0.63,2.28,0.36,0.94,0.06
Archean craton,Basalt,47.35,0.62,15.5,17.28,6.33,0.23,0.71,0.09,0.04,81,348,481,50,147,1,262,16.7,34,1.41,3.89,3.3,1.49,0.53,1.63,0.26,1.18,0.32
Convergent margin,Dacite,58.2,0.92,16.06,6.24,6.97,0.1,1.34,4.21,0.22,14,150,485,25,150,27,486,19,144,12.8,27,16,3.18,1.14,1.56,0.23,3.2,2.6
Intraplate,Basalt,44.17,3.25,12.06,10.45,10.55,0.17,1.01,1.85,0.51,37.49852673,380.2753471,486.0769418,78.41525883,355.6561298,21.50620877,631.7575991,26.73524912,190.0766342,27.30495001,57.74325495,29.58375359,6.578010685,2.123138208,1.434832396,0.191704351,3.860130489,2.984825758
Convergent margin,Andesite,57.87,0.6,14.67,8.13,8.88,0.11,0.72,3.18,0.16,19,172,495,64,128,12.3,741,10.1,83,10.3,23.1,12.3,2.7,0.92,1.05,0.16,2.7,1.9
Convergent margin,Andesite,57.69,0.24,14.29,4.18,7.7,0.08,0.4,2.78,0.03,25,182,510,28,121,5.9,150,7.6,36.4,2.36,5.43,3.87,0.95,0.29,0.79,0.12,1.04,0.27
Ocean island,Basalt,50.48,2.14,12.96,10.07,9.64,0.18,0.28,2.22,0.2,28.7,234,512,NA,194,3.79,320,25.7,132,8.82,23.4,17.4,4.79,1.69,1.89,0.273,3.42,0.627
Archean craton,Basalt,57.8,1.2,16.6,9.61,3.06,0.1,0.03,2.7,0.14,32,240,520,48,200,1,38,26,82,5.7,15,11,3.2,1.1,2.5,0.4,2.1,0.37
Convergent margin,Andesite,52.73,1.01,15.26,7.76,6.89,0.12,1.27,3.54,0.23,21.41,155,530,38,299,25.6,477,19.7,168.92,16.72,33.51,16.34,3.44,1.14,1.66,0.25,3.36,4.51
Convergent margin,Andesite,55.22,0.14,13.27,6.69,11.2,0.14,0.43,1.23,0,29.2,171,543,36.3,157,5.7,165,5.1,40,1.31,3.37,2.32,0.61,0.24,0.7,0.11,1.02,0.34
Archean craton,Basalt,51.99,0.56,9.55,7.98,12.85,0.21,0.37,2.41,0.06,40,253,543,57,73,69,117,16.4,36,2.15,6.49,5.2,1.55,0.54,1.66,0.26,0.93,0.32
Archean craton,Basalt,53.96,0.52,10.44,8.47,8.57,0.2,0.65,1.75,0.05,39,227,553,62,110,94,124,16.35,35,2.46,6.82,5.45,1.65,0.59,1.55,0.24,0.87,0.34
Convergent margin,Andesite,51.18,0.59,15.84,9.65,10.65,0.16,0.41,2.21,0.11,21,236,558,56,247,3.1,253,12.2,47,3.78,9,5.9,1.98,0.69,1.36,0.2,1.5,0.46
Archean craton,Basalt,49.9,0.64,13.22,10.45,10.08,0.2,2.44,0.18,0.05,61,378,569,63,164,4.26,87,14,34,1.84,4.95,4.25,1.44,0.49,1.66,0.26,1.17,0.13
Ocean island,Basalt,49.73,2.37,12.33,10.57,10,0.18,0.08,1.92,0.22,27.6,253,573,NA,419,5.2,286,30.5,164,11.3,28.7,20.9,5.75,1.94,2.18,0.314,4.1,0.873
Ocean island,Basalt,46.06,2.59,14.3,11.5,9.76,0.19,0.78,2.05,0.44,NA,365,590,51,199,18.1,443,23,160,27.4,59.3,30.4,6.26,2.1,2.14,0.308,3.81,1.87
Ocean island,Basalt,49.67,2.1,12.64,9.72,10.55,0.19,0.25,2.1,0.18,29,235,602,NA,243,3.12,304,24.8,132,8.67,22.1,16.7,4.65,1.61,1.88,0.265,3.37,0.607
Archean craton,Basalt,53.94,0.56,10.67,7.51,8.79,0.19,0.53,1.66,0.06,39,238,609,67,103,78,124,17.01,27,2.57,7.35,5.79,1.68,0.64,1.58,0.25,0.72,0.32
Ocean island,Basalt,50.4,1.97,12.08,9.25,11.53,0.17,0.38,2.11,0.23,26.6,225,638,NA,361,5.15,304,24.6,125,8.78,21.9,16.4,4.59,1.59,1.8,0.256,3.21,0.555
Seamount,Basalt,48.43,1.14,14.3,10.36,11.61,0.19,0.09,1.87,0.1,30.3,211,697,61.2,357,1.25,129,19.9,51.7,2.62,7.15,6.18,2.15,0.85,1.76,0.26,1.39,0.17
Convergent margin,Andesite,50.03,0.23,12.77,12.61,12.08,0.15,0.28,0.94,0,27.1,193,762,44.6,374,7.6,139,8.2,26,1.5,3.05,2.61,0.8,0.31,0.87,0.13,0.7,0.18
Convergent margin,Andesite,56.25,0.2,11.19,4,8.22,0.12,0.14,3.82,0.03,22,129,765,33,218,2.6,122,7.1,39.8,1.85,4.2,3.12,0.79,0.25,0.78,0.13,1.28,0.39
Oceanic plateau,Basalt,48.96,0.41,13.94,11.28,11.15,0.16,0.38,1.65,0.07,41.9,209,804,49.2,270,6.87,75.6,12,22.9,5.85,11.1,5.26,1.25,0.44,1.54,0.245,0.598,0.884
Ocean island,Basalt,47.08,2.29,14.08,11.48,10.88,0.17,0.87,2,0.36,NA,348,844,54,238,18.9,445,20.3,148,23.5,49,25.3,5.2,1.64,1.8,0.265,3.4,2.3
Intraplate,Basalt,50.7,0.51,11.3,11.6,13.2,0.14,0.29,0.98,0.04,32.4,172,851,60.5,317,9.12,63.3,14.7,55.6,6.82,13.9,7.95,1.92,0.7,1.39,0.22,1.56,2.34
Convergent margin,Andesite,53.8,0.16,12.54,14.17,6.14,0.15,0.41,1.27,0,26.1,185,889,39.9,223,6.8,145,7.6,28,1.47,2.88,2.19,0.63,0.23,0.76,0.11,0.78,0.19
Intraplate,Basalt,49.86,0.42,12.4,11.1,13.5,0.17,0.79,2.11,0.02,94,220,890,86,300,21.7,126.6,8.8,14.3,5.6,10.6,5.5,1.6,0.67,1.1,0.14,0.7,NA
Intraplate,Basalt,52.1,0.55,12.7,10.8,11,0.13,1.23,1.09,0.04,36.3,188,891,66.1,336,47.4,116,15.6,61.3,7.05,14.8,8.12,2.02,0.49,1.53,0.23,1.58,2.7
Intraplate,Basalt,49.4,0.53,12.2,10.9,13.4,0.16,0.61,0.37,0.04,35,187,909,69.2,365,20,154,16.2,58.7,7.76,15.7,8.46,2.09,0.86,1.48,0.23,1.52,2.56
Intraplate,Basalt,49.5,0.57,11.6,10.4,14.1,0.15,0.1,1.18,0.04,34.8,185,910,60.6,324,2.35,10.9,17.1,62.3,7.62,15.3,8.09,1.99,0.51,1.64,0.25,1.6,2.7
Ocean island,Basalt,49.03,2.48,11.35,8.66,12.99,0.16,0.41,2.08,0.27,25,270,962,63,662,7.6,284,28,154,12.61,31.17,20.18,6.08,1.82,1.75,0.27,3.48,0.82
Convergent margin,Basalt,51.9,0.54,10.57,11.6,14.11,0.13,0.37,1.82,0.09,44.3,200,1023,48.3,330,4,220,14,47,2.93,6.9,4.8,1.6,0.54,1.1,0.157,1.03,0.45
Ocean island,Basalt,48.99,2.44,11.22,8.46,13.38,0.16,0.4,2.07,0.27,26,264,1061,63,725,7.3,277,27,152,12,30,19.3,5.02,1.88,1.98,0.28,3.44,0.8
Archean craton,Basalt,51.02,0.61,12.2,8.5,12.2,0.19,0.09,3.39,0.07,38,237,1089,NA,285,1.5,73.1,16.7,37.6,1.7,4.88,4.17,1.53,0.55,1.73,0.26,0.88,0.132
Convergent margin,Basalt,47.12,0.87,15.69,11.12,11.32,0.16,0.98,2.18,0.22,39.6,324,1092,46.1,203,15,198,19,56,8.87,20.4,12,3.37,1.04,1.76,0.265,1.88,1.36
Archean craton,Basalt,47.37,0.92,5.23,9.52,17.17,0.23,0.03,0.24,0.06,31,218,1145,93,1100,0.7,11.9,14,46,4.42,12.59,8.63,2.43,0.85,1.23,0.18,1.25,0.39
Archean craton,Basalt,48.82,0.48,12.46,8.71,12.79,0.18,1.58,0.39,0.04,32,202,1370,68,372,104.4,68.8,12,28,1.57,4.2,3.46,1.15,0.43,1.23,0.2,0.72,0.11
Intraplate,Basalt,49.2,0.51,10.4,7.03,17.3,0.19,0.69,0.76,0.06,31.3,167,1429,NA,1748,30.6,34.9,14.9,54,9.04,17.5,9.11,2.31,0.71,1.58,0.24,1.52,3.43
Archean craton,Basalt,50.12,1.14,16.02,11.61,6.41,0.32,0.51,2.68,0.1,56,456,1778,112,330,20,159,21.79,64,3.64,10.03,7.99,2.53,0.98,1.96,0.25,1.767,0.424
Archean craton,Basalt,48.14,0.7,7.86,9.47,19.44,0.18,0.06,0.22,0.04,28,203,1820,76,630,NA,21,14,48,3.1,7.7,5.6,1.9,0.72,1.2,0.16,1.1,0.3
Archean craton,Basalt,47.81,0.5,10.12,7.3,16.53,0.2,0.24,0.26,0.04,27,196,2127,68,538,12,25.5,12,28,1.9,5,3.75,1.22,0.4,1.32,0.21,0.72,0.26
Archean craton,Basalt,54.23,0.42,10.58,7.68,14.27,0.17,0.12,1.64,0.042,29.2,171,2289,76,402,4,137,12.4,41,5.6,12.8,7,1.37,0.46,1.22,0.2,1.21,1.1
Archean craton,Basalt,52.81,0.4,8.59,8.06,17.46,0.17,0.11,0.19,0.039,27.7,178,2618,88,516,8,20,10.4,34,3.9,10.2,4.275,1.085,0.43,0.9,0.15,1.02,0.7
Archean craton,Basalt,46.05,0.49,10.67,7.16,17.12,0.19,0.62,0.21,0.04,32,202,2711,82,621,36.9,17.7,11,22,1.43,3.85,3.18,1.06,0.35,1.2,0.19,0.6,0.13
Intraplate,Rhyolite,76.63,0.2,12.6,0.5,0.43,0.04,2.92,2.47,0.03,5.76,4.6,NA,1.58,3.33,104,58.1,26.7,197,43.7,67.6,25.7,4.68,0.74,3.25,0.51,5.62,21.6
Convergent margin,Dacite,64.81,0.85,15.73,0.5,1.18,0.1,3.09,4.42,0.22,14,61,NA,3.8,1.1,93.9,193.6,27.8,175.8,18.9,41.6,23.9,5.39,1.52,2.32,0.34,4.5,4.1
Archean craton,Rhyolite,80.52,0.12,9.15,1.41,0.54,0.04,2.04,1.99,0.03,4.9,5.67,NA,3.59,2.46,33.99,18.1,60.25,293.5,28.27,68.14,38.67,8.94,1.274,7.88,1.245,8.3,3.73
Archean craton,Rhyolite,72.6,0.32,12.61,0.06,4.33,0.06,2.98,0.33,0.05,3.3,14.64,NA,3.73,2.04,56.65,14.2,19.77,237.3,25.7,56.53,24.86,4.7,0.894,2.16,0.327,6.2,4.07
Archean craton,Rhyolite,79.13,0.11,5.72,0.24,5.54,0.1,0.05,0.11,0.03,3.4,2.82,NA,6.54,1.04,1.24,5,10.34,111.2,11.73,24.72,11.04,2.22,0.59,1.23,0.194,2.8,1.93
Intraplate,Rhyolite,76.44,0.12,12.58,1.35,0.45,0.05,4.1,3.52,0.02,0.79,4.48,NA,1.8,0.08,168.8,91.3,17,110.3,33.4,69.27,23.3,4.39,0.51,1.79,0.26,4.78,24.3
Convergent margin,Rhyolite,74.94,0.19,13.46,1.2,0.38,0.02,4.28,3.81,0.01,3.6,30,NA,1.6,0.3,194,92,32,140,25.9,54.4,19.7,3.86,0.36,2.2,0.344,4.06,18.68
Convergent margin,Andesite,58.81,1.12,15.51,6.89,3.16,0.15,1.15,3.51,0.15,35,313,NA,19,5,30,252,23,95,7.77,17.73,11.79,3.52,1.12,2.71,0.38,3.02,2.52
Archean craton,Rhyolite,73.25,0.25,12.46,1.6,1.18,0.06,2.1,3.61,0.03,10.9,2.7,NA,1.18,1.11,48.97,113.1,62.65,323.9,24.33,57.15,33.28,8.1,1.892,7.13,1.109,8.4,3.12
Convergent margin,Rhyolite,76.72,0.32,11.59,0.8,0.35,0.03,2.55,4.01,0.04,9,21,NA,3.9,12.6,21.8,70,50,189.6,8.6,22.2,17.4,5,0.87,5.29,0.88,6.2,1.6
Intraplate,Dacite,66.12,0.64,15.77,3.92,1.77,0.06,2.12,4.13,0.15,6,47,NA,45,26,85,348,14.4,148,17.9,32.5,14.6,2.6,0.82,1.23,0.21,3.3,6.1
Convergent margin,Rhyolite,73.67,0.56,11.19,4.47,0.39,0.14,1.1,3.08,0.14,16,29,NA,3.1,2.3,11.4,192.1,31.6,69.7,3.7,10.4,11,3.7,1.21,3.73,0.49,2.7,0.3
Intraplate,Dacite,66.95,0.31,16.1,3.03,0.89,0.04,2.08,4.61,0.11,4,29,NA,4.2,3.9,59.5,659.7,5.7,97.1,19.9,37.7,13.6,2.24,0.62,0.5,0.06,2.6,5.5
Intraplate,Dacite,66.9,0.31,16,2.74,0.87,0.04,2.08,4.59,0.11,4,32,NA,4,3,58.2,645,6,104,19.7,38.1,14,2.14,0.58,0.55,0.08,3.1,5.5
Convergent margin,Dacite,67.3,0.588,15.2,2.88,1.12,0.045,4.35,3.97,0.219,3.668341709,78.71287129,NA,9.23902439,11.69082126,63.71257485,557.8300921,6.989010989,203.8147139,24.23913043,52.7173913,23.26574173,3.965330444,0.96,0.504347826,0.075974026,4.845953003,5.182481752
Convergent margin,Andesite,50.93,0.66,15.54,9.94,10.65,0.14,0.76,2.73,0.28,22,229,NA,42,245,5.6,611,13.1,82,16,35.7,18.9,4.11,1.25,1.44,0.22,1.9,1.9
Archean craton,Rhyolite,74.42,0.06,13.83,1.32,0.35,0.02,3.01,3.94,0.03,1,1.75,NA,0.16,1.18,63.68,86.5,7.67,48.6,8.44,19.91,7.59,1.53,0.317,0.8,0.128,2.2,1.8
Intraplate,Rhyolite,74.04,0.13,13.53,1.49,0.82,0.08,5,3.52,0.02,0.91,4.95,NA,2.08,0.45,213.1,69.9,18.26,128.3,34.11,74.03,23.53,4.64,0.51,2.02,0.29,5.35,28.1
Cont flood Basalt,Rhyolite,73.73,0.36,11.37,0.41,0.17,0.13,4.41,5.49,0.02,0.5,4,NA,2.9,4,243.4,9.456,157,1600,69.2,162,56.79,13.52,1.15,16.8,2.41,34.9,54.7
Archean craton,Rhyolite,73.59,0.31,12.54,1.1,0.86,0.07,1.36,4.56,0.07,10.9,4.74,NA,2.07,1.26,24.44,76.3,74.46,248.6,25.94,62.08,39.62,10.32,1.885,9.28,1.422,7.5,3.28
Archean craton,Rhyolite,70.41,0.36,13.12,2.58,0.41,0.09,4.02,0.22,0.05,6.1,6.46,NA,15.39,1.51,81.33,14.1,41.49,302.7,56.29,117.46,52.51,9.78,1.923,4.81,0.718,7.4,15
Intraplate,Rhyolite,75.92,0.11,13.12,1.22,0.45,0.03,4.61,3.29,0.01,0.7,4.39,NA,1.63,0.29,189.4,72.8,15.21,102.4,28.17,60.1,18.83,3.8,0.4,1.66,0.24,4.48,23.75
Cont flood Basalt,Rhyolite,65,0.94,12.99,3.61,0.69,0.16,4.85,2.92,0.3,13,4,NA,6.2,4,144.6,207,80,697,88.7,188,75.54,14.41,4.84,6.22,0.88,15.9,16.3
Archean craton,Rhyolite,77.73,0.27,13.04,1.22,0.35,0.01,1.93,4.56,0.01,4,15,NA,7,21,57,84,19,186,44,84,30,5.5,0.97,2.3,0.34,4.6,18
Intraplate,Rhyolite,70.76,0.29,14.52,2.18,0.55,0.04,3.52,4.1,0.08,2,16,NA,3.3,12,93.1,265,9.1,151.7,31.4,55.1,15.1,2.4,0.55,0.91,0.15,4.5,15
Archean craton,Rhyolite,78.24,0.13,10.51,0.27,1.69,0.02,3.66,0.72,0.02,2.3,2.07,NA,1.76,3.97,92.22,12.3,29.58,177.6,34.45,74.04,30.75,6.2,0.457,3.68,0.555,6.2,8.54
Convergent margin,Dacite,66.97,0.45,14.25,3.37,0.68,0.1,1.08,3.95,0.07,12.7,32,NA,4,3,17.6,160,19.8,100,4.47,10.7,9.66,2.56,0.74,2.08,0.3,2.8,0.4
Archean craton,Rhyolite,70.49,0.28,10.36,3.08,2.4,0.13,1.2,2.9,0.07,5.3,15.7,NA,3.88,2.35,23.25,58.2,41.39,223.2,22.5,55.45,32.5,7.94,1.274,5.67,0.916,6.7,3.97
Convergent margin,Dacite,64.51,0.75,15.54,3.94,1.4,0.12,1.8,4.59,0.17,19,71,NA,8,4,42,224,28,144,11.14,24.73,14.72,4.03,1.37,3.5,0.5,4.12,3.49
Intraplate,Dacite,66.16,0.3,15.78,3.08,0.89,0.05,1.81,4.85,0.12,4,33,NA,4.2,4.1,53.2,778.6,6.1,100.4,19.2,35.9,13.6,2.15,0.55,0.5,0.08,2.9,5.7
Intraplate,Rhyolite,74.29,0.23,14.97,0.15,0.55,0.03,4.73,0.17,0.02,5.08,5.31,NA,1.76,3.75,174,40,33.9,217,41.9,85.1,25.4,5.32,0.84,3.8,0.57,6.22,24.9
Archean craton,Rhyolite,79.63,0.13,10.13,0.02,2.64,0.01,1.95,0.22,0.02,4.2,1.48,NA,6.33,1.3,31.95,7.6,21.38,200.9,19.76,43.47,20.25,4.28,0.546,2.45,0.381,5.3,4.12
Convergent margin,Dacite,69.83,0.53,14.77,2.52,0.66,0.11,2.13,5.17,0.12,14,12,NA,3,4,55,165,35,177,14.9,33.22,19.75,5.23,1.32,4.13,0.61,4.97,4.23
